token_ID,token,chunk_id,chunk_type,prev_chunk_id,chunk_rel_pos,label
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,5,-1,4,62.5,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,6,-1,5,75.0,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,7,-1,6,87.5,Normal rug
38,uniswap-fork-465_0x0e6FA9c050c8a707e7f56A2b3695665E4F9Eac9b,8,1,7,100.0,Normal rug
44,uniswap_0x001dDF3e12415f6eB1306ebB910A9EEFBFa0614F,1,1,-1,100.0,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,1,-1,-1,4.761904761904762,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,2,-1,1,9.523809523809524,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,3,-1,2,14.285714285714286,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,4,-1,3,19.047619047619047,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,5,-1,4,23.80952380952381,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,6,-1,5,28.571428571428573,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,7,-1,6,33.333333333333336,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,8,-1,7,38.095238095238095,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,9,-1,8,42.85714285714285,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,10,-1,9,47.61904761904762,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,11,-1,10,52.38095238095238,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,12,-1,11,57.142857142857146,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,13,-1,12,61.90476190476191,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,14,-1,13,66.66666666666667,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,15,-1,14,71.42857142857143,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,16,-1,15,76.19047619047619,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,17,-1,16,80.95238095238095,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,18,-1,17,85.71428571428571,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,19,-1,18,90.47619047619048,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,20,-1,19,95.23809523809524,Normal rug
48,uniswap_0x0182e2c99B269E0465b9e7CC729ac413a1937477,21,1,20,100.0,Normal rug
50,uniswap_0x02954e6a2bCA311F40ca31aF32152CC92b5beA88,1,1,-1,100.0,Normal rug
52,uniswap_0x02C779FAD9850394C9aBbd47C7C690858C81884F,1,-1,-1,50.0,Normal rug
52,uniswap_0x02C779FAD9850394C9aBbd47C7C690858C81884F,2,1,1,100.0,Normal rug
53,uniswap_0x02F7379BC17d53B06ab8CCf7C84d5fb145dEAd0F,1,1,-1,100.0,Normal rug
54,uniswap_0x02f92800F57BCD74066F5709F1Daa1A4302Df875,1,1,-1,100.0,Normal rug
57,uniswap_0x03e402E1af31245D8474ACF85F089Ef071B3186D,1,1,-1,100.0,Normal rug
58,uniswap_0x041Aff8f033f251Ae839c3C31Fcf9F43d900C311,1,1,-1,100.0,Normal rug
60,uniswap_0x046556644d0D0bA3a91C5F42d83F6883b180FaF8,1,1,-1,100.0,Normal rug
62,uniswap_0x04E54821ABA5b3B0F3b5321Eb6ad3C7561Bd6d73,1,-1,-1,20.0,Normal rug
62,uniswap_0x04E54821ABA5b3B0F3b5321Eb6ad3C7561Bd6d73,2,-1,1,40.0,Normal rug
62,uniswap_0x04E54821ABA5b3B0F3b5321Eb6ad3C7561Bd6d73,3,-1,2,60.0,Normal rug
62,uniswap_0x04E54821ABA5b3B0F3b5321Eb6ad3C7561Bd6d73,4,-1,3,80.0,Normal rug
62,uniswap_0x04E54821ABA5b3B0F3b5321Eb6ad3C7561Bd6d73,5,1,4,100.0,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,1,-1,-1,6.666666666666667,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,2,-1,1,13.333333333333334,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,3,-1,2,20.0,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,4,-1,3,26.666666666666668,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,5,-1,4,33.333333333333336,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,6,-1,5,40.0,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,7,-1,6,46.66666666666666,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,8,-1,7,53.333333333333336,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,9,-1,8,60.0,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,10,-1,9,66.66666666666667,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,11,-1,10,73.33333333333333,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,12,-1,11,80.0,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,13,-1,12,86.66666666666667,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,14,-1,13,93.33333333333331,Normal rug
61,uniswap_0x04c80Bb477890F3021F03B068238836Ee20aA0b8,15,1,14,100.0,Normal rug
64,uniswap_0x05032B0843d76D5FcD164f89bC017d8b99D625ad,1,1,-1,100.0,Normal rug
67,uniswap_0x061F727F20EaA58FfC5e95bA28789F48317f5792,1,-1,-1,50.0,Normal rug
67,uniswap_0x061F727F20EaA58FfC5e95bA28789F48317f5792,2,1,1,100.0,Normal rug
71,uniswap_0x0705fFDd454a8Ce78521ac2c7B1B7f02bfe448aD,1,1,-1,100.0,Normal rug
72,uniswap_0x075a8898B957BBaA91F26C2D7D877f4cb22743f5,1,1,-1,100.0,Normal rug
73,uniswap_0x082856eDF49Ba1cD74CA32E679366E7Fa51E6654,1,-1,-1,50.0,Normal rug
73,uniswap_0x082856eDF49Ba1cD74CA32E679366E7Fa51E6654,2,1,1,100.0,Normal rug
74,uniswap_0x08365687acd97eFBD2a31C183843614a289aCfba,1,-1,-1,50.0,Normal rug
74,uniswap_0x08365687acd97eFBD2a31C183843614a289aCfba,2,1,1,100.0,Normal rug
75,uniswap_0x08589DA986e17774f3aA7A1Ded9806c49C941d9d,1,1,-1,100.0,Normal rug
77,uniswap_0x091848565cC9e384B594758c68d171f6cDdbdB37,1,-1,-1,33.333333333333336,Normal rug
77,uniswap_0x091848565cC9e384B594758c68d171f6cDdbdB37,2,-1,1,66.66666666666667,Normal rug
77,uniswap_0x091848565cC9e384B594758c68d171f6cDdbdB37,3,1,2,100.0,Normal rug
89,uniswap_0x0C48601BC3Bf1c787778c5c3e7A01Bd37b3ef884,1,-1,-1,50.0,Normal rug
89,uniswap_0x0C48601BC3Bf1c787778c5c3e7A01Bd37b3ef884,2,1,1,100.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,1,-1,-1,10.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,2,-1,1,20.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,3,-1,2,30.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,4,-1,3,40.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,5,-1,4,50.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,6,-1,5,60.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,7,-1,6,70.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,8,-1,7,80.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,9,-1,8,90.0,Normal rug
91,uniswap_0x0CcC78007ee1bbFA88b6622f14F7B52bE05362aB,10,1,9,100.0,Normal rug
95,uniswap_0x0DB547Ba4e86F58Cb8C89B89F214bBdF31B5E754,1,1,-1,100.0,Normal rug
100,uniswap_0x0ECb490260380bC30311d2d0D6020fa2679Ea03E,1,1,-1,100.0,Normal rug
104,uniswap_0x0F7b1FbfcCd1E82bDB50fbb6aA18D19Af8a77BE2,1,1,-1,100.0,Normal rug
105,uniswap_0x0FceC5449a50D0b90Fb1524a1F61B2cb8b424e13,1,1,-1,100.0,Normal rug
108,uniswap_0x0FeFf7BF57eE9a257f6647bAEfae76b7366981a1,1,-1,-1,50.0,Normal rug
108,uniswap_0x0FeFf7BF57eE9a257f6647bAEfae76b7366981a1,2,1,1,100.0,Normal rug
82,uniswap_0x0a3415795Eab39f5ba66462C832Cd4b434e2c883,1,1,-1,100.0,Normal rug
93,uniswap_0x0d74826b76eD7859382029A09Fe4d1B0f02C9a09,1,1,-1,100.0,Normal rug
98,uniswap_0x0e4ddC17cc1b35724156371C7a0aD7fE1CCE8049,1,1,-1,100.0,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,1,-1,-1,2.2222222222222223,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,2,-1,1,4.444444444444445,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,3,-1,2,6.666666666666667,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,4,-1,3,8.88888888888889,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,5,-1,4,11.11111111111111,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,6,-1,5,13.333333333333334,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,7,-1,6,15.555555555555555,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,8,-1,7,17.77777777777778,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,9,-1,8,20.0,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,10,-1,9,22.22222222222222,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,11,-1,10,24.444444444444443,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,12,-1,11,26.666666666666668,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,13,-1,12,28.88888888888889,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,14,-1,13,31.11111111111111,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,15,-1,14,33.333333333333336,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,16,-1,15,35.55555555555556,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,17,-1,16,37.77777777777778,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,18,-1,17,40.0,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,19,-1,18,42.22222222222222,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,20,-1,19,44.44444444444444,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,21,-1,20,46.66666666666666,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,22,-1,21,48.888888888888886,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,23,-1,22,51.11111111111112,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,24,-1,23,53.333333333333336,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,25,-1,24,55.55555555555556,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,26,-1,25,57.77777777777778,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,27,-1,26,60.0,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,28,-1,27,62.22222222222222,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,29,-1,28,64.44444444444444,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,30,-1,29,66.66666666666667,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,31,-1,30,68.88888888888889,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,32,-1,31,71.11111111111111,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,33,-1,32,73.33333333333333,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,34,-1,33,75.55555555555556,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,35,-1,34,77.77777777777777,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,36,-1,35,80.0,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,37,-1,36,82.22222222222223,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,38,-1,37,84.44444444444444,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,39,-1,38,86.66666666666667,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,40,-1,39,88.88888888888889,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,41,-1,40,91.11111111111111,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,42,-1,41,93.33333333333331,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,43,-1,42,95.55555555555556,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,44,-1,43,97.77777777777776,Normal rug
107,uniswap_0x0fEdD511CA5Dbe053F9E2D13Aa6C4bec1E30Eff4,45,1,44,100.0,Normal rug
109,uniswap_0x102c776DDB30C754dEd4fDcC77A19230A60D4e4f,1,-1,-1,50.0,Normal rug
109,uniswap_0x102c776DDB30C754dEd4fDcC77A19230A60D4e4f,2,1,1,100.0,Normal rug
114,uniswap_0x113efB973397f467CE337460a77C0137696306e5,1,-1,-1,50.0,Normal rug
114,uniswap_0x113efB973397f467CE337460a77C0137696306e5,2,1,1,100.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,1,-1,-1,2.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,2,-1,1,5.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,3,-1,2,7.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,4,-1,3,10.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,5,-1,4,12.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,6,-1,5,15.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,7,-1,6,17.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,8,-1,7,20.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,9,-1,8,22.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,10,-1,9,25.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,11,-1,10,27.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,12,-1,11,30.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,13,-1,12,32.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,14,-1,13,35.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,15,-1,14,37.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,16,-1,15,40.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,17,-1,16,42.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,18,-1,17,45.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,19,-1,18,47.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,20,-1,19,50.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,21,-1,20,52.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,22,-1,21,55.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,23,-1,22,57.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,24,-1,23,60.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,25,-1,24,62.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,26,-1,25,65.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,27,-1,26,67.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,28,-1,27,70.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,29,-1,28,72.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,30,-1,29,75.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,31,-1,30,77.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,32,-1,31,80.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,33,-1,32,82.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,34,-1,33,85.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,35,-1,34,87.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,36,-1,35,90.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,37,-1,36,92.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,38,-1,37,95.0,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,39,-1,38,97.5,Normal rug
115,uniswap_0x11a7308F333D737c29297787aB50Da9c41eD93b0,40,1,39,100.0,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,1,-1,-1,4.166666666666667,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,2,-1,1,8.333333333333334,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,3,-1,2,12.5,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,4,-1,3,16.666666666666668,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,5,-1,4,20.83333333333333,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,6,-1,5,25.0,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,7,-1,6,29.166666666666668,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,8,-1,7,33.333333333333336,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,9,-1,8,37.5,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,10,-1,9,41.66666666666666,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,11,-1,10,45.833333333333336,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,12,-1,11,50.0,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,13,-1,12,54.16666666666666,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,14,-1,13,58.333333333333336,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,15,-1,14,62.5,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,16,-1,15,66.66666666666667,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,17,-1,16,70.83333333333333,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,18,-1,17,75.0,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,19,-1,18,79.16666666666667,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,20,-1,19,83.33333333333333,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,21,-1,20,87.5,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,22,-1,21,91.66666666666669,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,23,-1,22,95.83333333333331,Normal rug
118,uniswap_0x1220a1cC66033Fe2B026d70D349316e033B15321,24,1,23,100.0,Normal rug
119,uniswap_0x129111A318CD0D4D587e4fD5e8527B26cc9d96c0,1,1,-1,100.0,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,1,-1,-1,7.6923076923076925,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,2,-1,1,15.384615384615383,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,3,-1,2,23.07692307692308,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,4,-1,3,30.76923076923077,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,5,-1,4,38.46153846153846,Normal rug
121,uniswap_0x12989FaBd2f4E0673bcBe2661537C5ae7fAdf774,6,-1,5,46.15384615384615,Normal rug
